id,name,company,sector,njsector,gender,base,bonus,basebonus,salaryother,moneyall,tier,,option
359,Todd Ibrahim,American Society of Nephrology,Prof,Health,male,355665,0,355665,0,355665,third,,<option value='bubble_359'>Todd Ibrahim</option>
360,James Scully,American Psychiatric Association,Prof,Health,male,390000,0,390000,-36313,353687,third,,<option value='bubble_360'>James Scully</option>
361,James A. Williams,International Union of Painters and Allied Trades,Union,Labor Unions,male,301762,0,301762,51824,353586,third,,<option value='bubble_361'>James A. Williams</option>
362,Guy C. Fogleman,Federation of American Societies for Experimental Biology,Prof,"Education, Arts and Sciences",male,348099,0,348099,4076,352175,third,,<option value='bubble_362'>Guy C. Fogleman</option>
363,Barry J. Barresi,American Optometric Association,Prof,Health,male,316065,0,316065,34447,350512,third,,<option value='bubble_363'>Barry J. Barresi</option>
364,Geraldine D. Bednash,American Association of Colleges of Nursing,Trade,Health,female,337574,10342,347916,0,347916,third,,<option value='bubble_364'>Geraldine D. Bednash</option>
365,Elizabeth Marincola,Society for Science and the Public,Nonprofit,Public Interest Groups,female,300047,35000,335047,12777,347824,third,,<option value='bubble_365'>Elizabeth Marincola</option>
366,Wayne Pacelle,Humane Society of the U.S. ,Nonprofit,Public Interest Groups,male,301285,0,301285,46390,347675,third,,<option value='bubble_366'>Wayne Pacelle</option>
367,Janet Murguia,National Council of La Raza,Nonprofit,Public Interest Groups,female,343936,0,343936,2652,346588,third,,<option value='bubble_367'>Janet Murguia</option>
368,Stephen C. Crane,American Thoracic Society,Prof,Health,male,345937,0,345937,0,345937,third,,<option value='bubble_368'>Stephen C. Crane</option>
369,Robert O'Neill,International City/County Management Association,Prof,Government,male,285226,35750,320976,24150,345126,third,,<option value='bubble_369'>Robert O'Neill</option>
370,Donald Borut,National League of Cities,Trade,Government,male,344971,0,344971,0,344971,third,,<option value='bubble_370'>Donald Borut</option>
371,Stacy Pagos Haller,BrightFocus Foundation,Nonprofit,Public Interest Groups,female,300100,40000,340100,1948,342048,third,,<option value='bubble_371'>Stacy Pagos Haller</option>
372,Frederick H. Grubbe,Appraisal Institute,Trade,"Banking, finance",male,305159,19000,324159,17000,341159,third,,<option value='bubble_372'>Frederick H. Grubbe</option>
373,Douglas K. Woods,AMT_The Association for Manufacturing Technology,Trade,Manufacturing,male,263224,75556,338780,2259,341039,third,,<option value='bubble_373'>Douglas K. Woods</option>
374,Larry J. Schweiger,National Wildlife Federation,Nonprofit,Public Interest Groups,male,297461,0,297461,41779,339240,third,,<option value='bubble_374'>Larry J. Schweiger</option>
375,Robert K. Johnson,National Rural Water Association,Trade,Natural Resources,male,337893,106,337999,0,337999,third,,<option value='bubble_375'>Robert K. Johnson</option>
376,Susan B. Waters,National Association of Insurance and Financial Advisors,Prof,"Banking, finance",female,336765,0,336765,0,336765,third,,<option value='bubble_376'>Susan B. Waters</option>
377,Bob Dickman,American Institute of Aeronautics and Astronautics,Prof,Transportation Defense,male,299672,29707,329379,7342,336721,third,,<option value='bubble_377'>Bob Dickman</option>
378,Lisa Simpson,AcademyHealth,Prof,Health,female,335977,0,335977,614,336591,third,,<option value='bubble_378'>Lisa Simpson</option>
379,Anne L. Bryant,National School Boards Association,Trade,"Education, Arts and Sciences",female,336247,0,336247,0,336247,third,,<option value='bubble_379'>Anne L. Bryant</option>
380,Peter O'Neil,American Industrial Hygiene Association,Prof,Health,male,313425,21226,334651,0,334651,third,,<option value='bubble_380'>Peter O'Neil</option>
381,Trip Van Noppen,Earthjustice,Nonprofit,Public Interest Groups,male,309606,25000,334606,0,334606,third,,<option value='bubble_381'>Trip Van Noppen</option>
382,Tim Phillips,Americans for Prosperity,ThinkTank,Think Tank,male,259047,75000,334047,0,334047,third,,<option value='bubble_382'>Tim Phillips</option>
383,Daniel A. Domenech,American Association of School Administrators,Prof,"Education, Arts and Sciences",male,331463,0,331463,0,331463,third,,<option value='bubble_383'>Daniel A. Domenech</option>
384,Max Richtman,National Committee to Preserve Social Security and Medicare,Nonprofit,Public Interest Groups,male,330882,0,330882,0,330882,third,,<option value='bubble_384'>Max Richtman</option>
385,Bill Sweeney,International Foundation for Electoral Systems,Nonprofit,Public Interest Groups,male,266024,30000,296024,33678,329702,third,,<option value='bubble_385'>Bill Sweeney</option>
386,Matthew Melmed,Zero to Three,Nonprofit,Public Interest Groups,male,311927,0,311927,16500,328427,third,,<option value='bubble_386'>Matthew Melmed</option>
387,W. Ron DeHaven,American Veterinary Medical Association,Prof,"Agriculture, Livestock",male,328320,0,328320,0,328320,third,,<option value='bubble_387'>W. Ron DeHaven</option>
388,Patricia Babjak,Academy of Nutrition and Dietetics,Prof,Health,female,327710,0,327710,0,327710,third,,<option value='bubble_388'>Patricia Babjak</option>
389,Mary Roth,Risk and Insurance Management Society,Trade,Insurance,female,291619,13418,305037,22500,327537,third,,<option value='bubble_389'>Mary Roth</option>
390,Marla J. Weston,American Nurses Association,Prof,Health,female,326530,0,326530,966,327496,third,,<option value='bubble_390'>Marla J. Weston</option>
391,Ed Greene,Vision Council,Trade,Health,male,325576,0,325576,0,325576,third,,<option value='bubble_391'>Ed Greene</option>
392,Veronique Spruill,Ocean Conservancy,Nonprofit,Public Interest Groups,female,285000,41500,326500,-990,325510,third,,<option value='bubble_392'>Veronique Spruill</option>
393,William H. Meadows,Wilderness Society,Nonprofit,Public Interest Groups,male,315761,0,315761,8619,324380,third,,<option value='bubble_393'>William H. Meadows</option>
394,Phil Sharp,Resources for the Future,ThinkTank,Think Tank,male,296277,27000,323277,0,323277,third,,<option value='bubble_394'>Phil Sharp</option>
395,Mark A. Leasure,Infectious Diseases Society of America,Prof,Health,male,319683,0,319683,3564,323247,third,,<option value='bubble_395'>Mark A. Leasure</option>
396,James Boland,International Union of Bricklayers and Allied Craftworkers,Union,Labor Unions,male,310400,0,310400,10772,321172,third,,<option value='bubble_396'>James Boland</option>
397,Rick Tolman,National Corn Growers Association,Trade,"Agriculture, Livestock",male,314102,6925,321027,0,321027,third,,<option value='bubble_397'>Rick Tolman</option>
398,Steve Coll,New America Foundation,ThinkTank,Think Tank,male,270730,50000,320730,0,320730,third,,<option value='bubble_398'>Steve Coll</option>
399,Joe Moore,"International Health, Racquet and Sportsclub Association",Trade,"Advertising, media, entertainment",male,315000,5000,320000,0,320000,third,,<option value='bubble_399'>Joe Moore</option>
400,Paul R. Corts,Council for Christian Colleges & Universities,Trade,"Education, Arts and Sciences",male,311700,0,311700,8080,319780,third,,<option value='bubble_400'>Paul R. Corts</option>
401,Charles D. Connor,American Lung Association,Nonprofit,Public Interest Groups,male,319133,0,319133,0,319133,third,,<option value='bubble_401'>Charles D. Connor</option>
402,Dan E. Davidson,American Councils for International Education,Nonprofit,Public Interest Groups,male,308480,10000,318480,0,318480,third,,<option value='bubble_402'>Dan E. Davidson</option>
403,James Smith,American International Health Alliance,Nonprofit,Public Interest Groups,male,254197,0,254197,64038,318235,third,,<option value='bubble_403'>James Smith</option>
404,William B. Rogers,Trust for Public Land,Nonprofit,Public Interest Groups,male,318127,0,318127,0,318127,third,,<option value='bubble_404'>William B. Rogers</option>
405,Georges C. Benjamin,American Public Health Association,Trade,Health,male,298416,12308,310724,6992,317716,third,,<option value='bubble_405'>Georges C. Benjamin</option>
406,Marlene M. Johnson,NAFSA: Association of International Educators,Prof,"Education, Arts and Sciences",female,288573,0,288573,28080,316653,third,,<option value='bubble_406'>Marlene M. Johnson</option>
407,Susan C. Keating,National Foundation for Credit Counseling,Nonprofit,Public Interest Groups,female,303923,0,303923,10860,314783,third,,<option value='bubble_407'>Susan C. Keating</option>
408,Patricia de Stacy Harrison,Corporation for Public Broadcasting,Nonprofit,Public Interest Groups,female,196878,79880,276758,38023,314781,third,,<option value='bubble_408'>Patricia de Stacy Harrison</option>
409,Cliff Johnson,Pipeline Research Council International,Trade,Energy,male,254616,59946,314562,0,314562,third,,<option value='bubble_409'>Cliff Johnson</option>
410,Paul Jarris,Association of State and Territorial Health Officials,Prof,Health,male,268466,45900,314366,0,314366,third,,<option value='bubble_410'>Paul Jarris</option>
411,Patrick Bergin,African Wildlife Foundation,Nonprofit,Public Interest Groups,male,233905,80000,313905,0,313905,third,,<option value='bubble_411'>Patrick Bergin</option>
412,Kathy Apple,National Council of State Boards of Nursing,Prof,Health,female,313684,0,313684,0,313684,third,,<option value='bubble_412'>Kathy Apple</option>
413,Harold Schaitberger,International Association of Firefighters,Union,Labor Unions,male,274525,0,274525,39061,313586,third,,<option value='bubble_413'>Harold Schaitberger</option>
414,Kate P. Kirby,American Physical Society,Trade,"Education, Arts and Sciences",female,313113,0,313113,0,313113,third,,<option value='bubble_414'>Kate P. Kirby</option>
415,Wanda Wilson,American Association of Nurse Anesthetists,Prof,Health,female,311471,0,311471,1584,313055,third,,<option value='bubble_415'>Wanda Wilson</option>
416,M. Michele Hogan,American Association of Immunologists,Prof,Health,female,312000,0,312000,0,312000,third,,<option value='bubble_416'>M. Michele Hogan</option>
417,Joseph T. Hansen,United Food and Commercial Workers,Union,Labor Unions,male,297941,0,297941,12788,310729,third,,<option value='bubble_417'>Joseph T. Hansen</option>
418,"John Lisack, Jr.",American Association of Pharmaceutical Scientists,Prof,Health,male,302345,5000,307345,2691,310036,third,,"<option value='bubble_418'>John Lisack, Jr.</option>"
419,Thomas Dorr,U.S. Grains Council,Trade,"Agriculture, Livestock",male,310000,0,310000,0,310000,third,,<option value='bubble_419'>Thomas Dorr</option>
420,Peter B. King,American Public Works Association,Trade,Government,male,281268,10000,291268,16497,307765,third,,<option value='bubble_420'>Peter B. King</option>
421,Betsy Ward,USA Rice Federation,Trade,"Agriculture, Livestock",female,306769,0,306769,0,306769,bottom,,<option value='bubble_421'>Betsy Ward</option>
422,Kristie Arslan,National Association for the Self-Employed,Trade,General Business,female,306423,0,306423,0,306423,bottom,,<option value='bubble_422'>Kristie Arslan</option>
423,Ethan Schreier,Associated Universities,Nonprofit,Public Interest Groups,male,301699,0,301699,2273,303972,bottom,,<option value='bubble_423'>Ethan Schreier</option>
424,Barbara Tulipane,National Recreation and Park Association,Prof,"Agriculture, food, natural resources",female,257405,28640,286045,17926,303971,bottom,,<option value='bubble_424'>Barbara Tulipane</option>
425,Tom Skiba,Community Associations Institute,Trade,Real Estate,male,302651,0,302651,0,302651,bottom,,<option value='bubble_425'>Tom Skiba</option>
426,Michael Goodwin,Office and Professional Employees International Union,Union,Labor Unions,male,301332,0,301332,0,301332,bottom,,<option value='bubble_426'>Michael Goodwin</option>
427,John Courson,Home Builders Institute,Trade,Construction,male,300120,0,300120,0,300120,bottom,,<option value='bubble_427'>John Courson</option>
428,Mark D. Lange,National Cotton Council of America,Trade,"Agriculture, Livestock",male,284311,11499,295810,4262,300072,bottom,,<option value='bubble_428'>Mark D. Lange</option>
429,H. Gene Wilhoit,Council of Chief State School Officers,Prof,"Education, Arts and Sciences",male,299321,0,299321,0,299321,bottom,,<option value='bubble_429'>H. Gene Wilhoit</option>
430,Jane H. Gilbert,ALS Association,Nonprofit,Public Interest Groups,female,297288,0,297288,0,297288,bottom,,<option value='bubble_430'>Jane H. Gilbert</option>
431,Malcolm Futhey,United Transportation Union,Union,Labor Unions,male,0,0,0,0,296311,bottom,,<option value='bubble_431'>Malcolm Futhey</option>
432,Daniel Sokatch,New Israel Fund,Nonprofit,Public Interest Groups,male,295646,0,295646,0,295646,bottom,,<option value='bubble_432'>Daniel Sokatch</option>
433,Charles D. Gray,National Association of Regulatory Utility Commissioners,Prof,Energy,male,280534,15000,295534,0,295534,bottom,,<option value='bubble_433'>Charles D. Gray</option>
434,Barbara Reno,Chief Executives Organization,Prof,General Business,female,294800,0,294800,0,294800,bottom,,<option value='bubble_434'>Barbara Reno</option>
435,Kevin B. Marvel,American Astronomical Society,Prof,"Education, Arts and Sciences",male,293501,0,293501,0,293501,bottom,,<option value='bubble_435'>Kevin B. Marvel</option>
436,Shenggen Fan,International Food Policy Research Institute,Nonprofit,Public Interest Groups,male,292886,0,292886,0,292886,bottom,,<option value='bubble_436'>Shenggen Fan</option>
437,Neil Schuster,American Association of Motor Vehicle Administrators,Prof,Transportation Defense,male,292645,0,292645,0,292645,bottom,,<option value='bubble_437'>Neil Schuster</option>
438,Karen Peddicord,"Association of Women's Health, Obstetric and Neonatal Nurses",Prof,Health,female,273167,0,273167,18605,291772,bottom,,<option value='bubble_438'>Karen Peddicord</option>
439,Benjamin Jealous,NAACP,Nonprofit,Public Interest Groups,male,290190,0,290190,0,290190,bottom,,<option value='bubble_439'>Benjamin Jealous</option>
440,Dale Cyr,American Registry for Diagnostic Medical Sonography,Prof,Health,male,270991,16695,287686,1417,289103,bottom,,<option value='bubble_440'>Dale Cyr</option>
441,Lucinda L. Maine ,American Association of Colleges of Pharmacy,Trade,"Education, Arts and Sciences",female,288824,0,288824,0,288824,bottom,,<option value='bubble_441'>Lucinda L. Maine </option>
442,Marvin Tuttle Jr.,Financial Planning Association,Trade,"Banking, finance",male,267067,20000,287067,1755,288822,bottom,,<option value='bubble_442'>Marvin Tuttle Jr.</option>
443,Richard Trumka,American Federation of Labor and Congress of Industrial Organizations (AFL-CIO),Union,Labor Unions,male,280034,0,280034,6016,286050,bottom,,<option value='bubble_443'>Richard Trumka</option>
444,Kenneth Weinstein,Hudson Institute,ThinkTank,Think Tank,male,285906,0,285906,0,285906,bottom,,<option value='bubble_444'>Kenneth Weinstein</option>
445,Theodore H. Kattouf,America-Mideast Educational and Training Services,Nonprofit,Public Interest Groups,male,281875,0,281875,3810,285685,bottom,,<option value='bubble_445'>Theodore H. Kattouf</option>
446,Lawrence A. Jacobson,National Society of Professional Engineers,Prof,Professional,male,282501,0,282501,2863,285364,bottom,,<option value='bubble_446'>Lawrence A. Jacobson</option>
447,Andrew Watt ,Association of Fundraising Professionals,Prof,Professional,male,238972,45160,284132,719,284851,bottom,,<option value='bubble_447'>Andrew Watt </option>
448,Scott Becker,Association of Public Health Laboratories,Trade,Health,male,284363,0,284363,0,284363,bottom,,<option value='bubble_448'>Scott Becker</option>
449,Jeff H. Littleton,"ASRAE (American Society of Heating, Refrigerating and Air-Conditioning Engineers)",Prof,Construction,male,260783,15000,275783,7194,282977,bottom,,<option value='bubble_449'>Jeff H. Littleton</option>
450,Gene Karpinski,League of Conservation Voters,Nonprofit,Public Interest Groups,male,281656,0,281656,0,281656,bottom,,<option value='bubble_450'>Gene Karpinski</option>
451,Felice J. Levine,American Educational Research Association,Prof,"Education, Arts and Sciences",female,281599,0,281599,0,281599,bottom,,<option value='bubble_451'>Felice J. Levine</option>
452,Carol Geary Schneider,Association of American Colleges and Universities,Trade,"Education, Arts and Sciences",female,279743,0,279743,1548,281291,bottom,,<option value='bubble_452'>Carol Geary Schneider</option>
453,Paul Grace,National Board for Certification in Occupational Therapy,Prof,Health,male,280344,0,280344,0,280344,bottom,,<option value='bubble_453'>Paul Grace</option>
454,Patricia Blake,American Society of Gastrointestinal Endoscopy,Prof,Health,female,263078,12532,275610,0,275610,bottom,,<option value='bubble_454'>Patricia Blake</option>
455,Russell C. Salzman,Institute of Real Estate Management,Prof,Real Estate,male,250251,25200,275451,0,275451,bottom,,<option value='bubble_455'>Russell C. Salzman</option>
456,Michelle Nunn,Points of Light Foundation,Nonprofit,Public Interest Groups,female,274793,0,274793,0,274793,bottom,,<option value='bubble_456'>Michelle Nunn</option>
457,Jonathan T.M. Reckford,Habitat for Humanity International,Nonprofit,Public Interest Groups,male,273328,0,273328,900,274228,bottom,,<option value='bubble_457'>Jonathan T.M. Reckford</option>
458,Carl H. Leonard,ACDI/VOCA,Nonprofit,Public Interest Groups,male,273799,0,273799,0,273799,bottom,,<option value='bubble_458'>Carl H. Leonard</option>
459,Brett Jenks,RARE,Nonprofit,Public Interest Groups,male,246486,25500,271986,0,271986,bottom,,<option value='bubble_459'>Brett Jenks</option>
460,James C. Little,Transport Workers Union of America,Union,Labor Unions,male,260824,0,260824,8483,269307,bottom,,<option value='bubble_460'>James C. Little</option>
461,Joyce Smith,National Association for College Admission Counseling,Prof,"Education, Arts and Sciences",female,255287,12438,267725,1456,269181,bottom,,<option value='bubble_461'>Joyce Smith</option>
462,Christine Wehrman,American Rental Association,Trade,Real Estate,female,254976,13640,268616,0,268616,bottom,,<option value='bubble_462'>Christine Wehrman</option>
463,Joseph Jobe,National Biodiesel Board,Trade,Energy,male,248158,20000,268158,0,268158,bottom,,<option value='bubble_463'>Joseph Jobe</option>
464,R. Thomas Buffenbarger,International Association of Machinists and Aerospace Workers,Union,Labor Unions,male,267948,0,267948,0,267948,bottom,,<option value='bubble_464'>R. Thomas Buffenbarger</option>
465,David LaFrance,American Water Works Association,Trade,Natural Resources,male,251097,15000,266097,990,267087,bottom,,<option value='bubble_465'>David LaFrance</option>
466,Kichoon Yang,National Council of Teachers of Mathematics,Prof,"Education, Arts and Sciences",male,264518,0,264518,2114,266632,bottom,,<option value='bubble_466'>Kichoon Yang</option>
467,Peter S. Unger,American Association for Laboratory Accreditation,Trade,"Education, Arts and Sciences",male,265503,0,265503,0,265503,bottom,,<option value='bubble_467'>Peter S. Unger</option>
468,Colleen M. Kelley,National Treasury Employees Union,Union,Labor Unions,female,264731,0,264731,0,264731,bottom,,<option value='bubble_468'>Colleen M. Kelley</option>
469,Mary Kay Henry,Service Employees International Union,Union,Labor Unions,female,251234,4831,256065,7756,263821,bottom,,<option value='bubble_469'>Mary Kay Henry</option>
470,Ford Watson Bell,American Alliance of Museums,Trade,"Education, Arts and Sciences",male,260844,0,260844,2772,263616,bottom,,<option value='bubble_470'>Ford Watson Bell</option>
471,Paul Rinaldi,National Air Traffic Controllers Association,Union,Labor Unions,male,262838,0,262838,0,262838,bottom,,<option value='bubble_471'>Paul Rinaldi</option>
472,Barbara A. Gordon,American Society for Biochemistry and Molecular Biology,Prof,"Education, Arts and Sciences",female,262650,0,262650,0,262650,bottom,,<option value='bubble_472'>Barbara A. Gordon</option>
473,Crystal Williams,American Immigration Lawyers Association,Prof,Legal,female,240451,2500,242951,18887,261838,bottom,,<option value='bubble_473'>Crystal Williams</option>
474,Matthew L. Myers,Campaign for Tobacco-Free Kids,Nonprofit,Public Interest Groups,male,255646,0,255646,5334,260980,bottom,,<option value='bubble_474'>Matthew L. Myers</option>
475,Paul Bellantone,Promotional Products Association International,Trade,"Advertising, media, entertainment",male,259604,0,259604,0,259604,bottom,,<option value='bubble_475'>Paul Bellantone</option>
476,Henry L. Green,National Institute of Building Sciences,Prof,Construction,male,259540,0,259540,0,259540,bottom,,<option value='bubble_476'>Henry L. Green</option>
477,Jeff Eger,Water Environment Federation,Nonprofit,Public Interest Groups,male,219958,39000,258958,0,258958,bottom,,<option value='bubble_477'>Jeff Eger</option>
478,Mark Light,International Association of Fire Chiefs,Prof,Government,male,258500,0,258500,0,258500,bottom,,<option value='bubble_478'>Mark Light</option>
479,Steve Censky,American Soybean Association,Trade,"Agriculture, Livestock",male,258403,0,258403,0,258403,bottom,,<option value='bubble_479'>Steve Censky</option>
480,Albert C. Gray,Accrediting Council for Independent Colleges and Schools,Prof,"Education, Arts and Sciences",male,228125,30000,258125,0,258125,bottom,,<option value='bubble_480'>Albert C. Gray</option>
481,Robert M. Pestronk ,National Association of County and City Health Officials,Prof,Government,male,257979,0,257979,0,257979,bottom,,<option value='bubble_481'>Robert M. Pestronk </option>
482,Eric Hargis,National PTA,Nonprofit,Public Interest Groups,male,247224,10000,257224,0,257224,bottom,,<option value='bubble_482'>Eric Hargis</option>
483,Kevin T. Knobloch,Union of Concerned Scientists,Nonprofit,Public Interest Groups,male,256293,0,256293,0,256293,bottom,,<option value='bubble_483'>Kevin T. Knobloch</option>
484,Neera Tanden,Center for American Progress,ThinkTank,Think Tank,female,254739,0,254739,0,254739,bottom,,<option value='bubble_484'>Neera Tanden</option>
485,E. Paul Roetert,"American Alliance of Health, Physical Education, Recreation and Dance",Prof,"Education, Arts and Sciences",male,254277,0,254277,0,254277,bottom,,<option value='bubble_485'>E. Paul Roetert</option>
486,James Firman,National Council on Aging,Nonprofit,Public Interest Groups,male,253966,0,253966,0,253966,bottom,,<option value='bubble_486'>James Firman</option>
487,Neil Dierks,National Pork Producers Council,Trade,"Agriculture, Livestock",male,223499,29608,253107,0,253107,bottom,,<option value='bubble_487'>Neil Dierks</option>
488,Lawrence Hanley,Amalgamated Transit Union,Union,Labor Unions,male,226171,0,226171,26669,252840,bottom,,<option value='bubble_488'>Lawrence Hanley</option>
489,John Hegarty,National Postal Mail Handlers Union,Union,Labor Unions,male,220276,0,220276,32091,252367,bottom,,<option value='bubble_489'>John Hegarty</option>
490,Nancy C. Somerville,American Society of Landscape Architects,Prof,Professional,female,250230,0,250230,0,250230,bottom,,<option value='bubble_490'>Nancy C. Somerville</option>
491,Suzanne Nossel,Amnesty International USA,Nonprofit,Public Interest Groups,female,239189,0,239189,10000,249189,bottom,,<option value='bubble_491'>Suzanne Nossel</option>
492,Alan Tracy,U.S. Wheat Associates,Trade,"Agriculture, Livestock",male,249034,0,249034,0,249034,bottom,,<option value='bubble_492'>Alan Tracy</option>
493,Timothy Davis,Close Up Foundation,Nonprofit,Public Interest Groups,male,197826,50000,247826,0,247826,bottom,,<option value='bubble_493'>Timothy Davis</option>
494,Jerlean Daniel,National Association for the Education of Young Children,Prof,"Education, Arts and Sciences",female,246979,0,246979,0,246979,bottom,,<option value='bubble_494'>Jerlean Daniel</option>
495,W. Robert Pearson,International Research and Exchanges Board,Trade,"Banking, finance",male,246150,0,246150,0,246150,bottom,,<option value='bubble_495'>W. Robert Pearson</option>
496,Ethan Nadelmann,Drug Policy Alliance,Nonprofit,Public Interest Groups,male,245298,0,245298,0,245298,bottom,,<option value='bubble_496'>Ethan Nadelmann</option>
497,Carl Gershman,National Endowment for Democracy,Nonprofit,Public Interest Groups,male,245226,0,245226,0,245226,bottom,,<option value='bubble_497'>Carl Gershman</option>
498,John D. Sullivan,Center for International Private Enterprise,ThinkTank,Think Tank,male,243366,0,243366,0,243366,bottom,,<option value='bubble_498'>John D. Sullivan</option>
499,Sandra C. Raymond,Lupus Foundation of America,Nonprofit,Public Interest Groups,female,230640,12000,242640,0,242640,bottom,,<option value='bubble_499'>Sandra C. Raymond</option>
500,Andrew F. Sharpless,Oceana,Nonprofit,Public Interest Groups,male,242614,0,242614,0,242614,bottom,,<option value='bubble_500'>Andrew F. Sharpless</option>
501,Michael Jacobson,Center for Science in the Public Interest,Nonprofit,Public Interest Groups,male,241795,0,241795,0,241795,bottom,,<option value='bubble_501'>Michael Jacobson</option>
502,Robin R. Ganzert,American Humane Association,Nonprofit,Public Interest Groups,female,224996,0,224996,14700,239696,bottom,,<option value='bubble_502'>Robin R. Ganzert</option>
503,Donald Knezek,International Society for Technology in Education,Prof,"Education, Arts and Sciences",male,238714,0,238714,0,238714,bottom,,<option value='bubble_503'>Donald Knezek</option>
504,Virginia Pappas,"Society of Nuclear Medicine and Molecular Imaging	",Prof,Health,female,237654,0,237654,774,238428,bottom,,<option value='bubble_504'>Virginia Pappas</option>
505,Rand Wentworth,Land Trust Alliance,Nonprofit,Public Interest Groups,male,232182,0,232182,2568,234750,bottom,,<option value='bubble_505'>Rand Wentworth</option>
506,Carol Emig,Child Trends,Nonprofit,Public Interest Groups,female,230822,0,230822,0,230822,bottom,,<option value='bubble_506'>Carol Emig</option>
507,Chris Wood,Trout Unlimited,Nonprofit,Public Interest Groups,male,228537,0,228537,0,228537,bottom,,<option value='bubble_507'>Chris Wood</option>
508,Kenneth Wollack,National Democratic Institute for International Affairs,Nonprofit,Public Interest Groups,male,209089,0,209089,19418,228507,bottom,,<option value='bubble_508'>Kenneth Wollack</option>
509,Carol H. Rasco ,Reading Is Fundamental,Nonprofit,Public Interest Groups,female,217390,11000,228390,0,228390,bottom,,<option value='bubble_509'>Carol H. Rasco </option>
510,Melissa Moore,INFORMS: Institute for Operations Research and the Management Sciences,Prof,General Business,female,227660,0,227660,0,227660,bottom,,<option value='bubble_510'>Melissa Moore</option>
511,Keith Fiels,American Library Association,Prof,"Education, Arts and Sciences",male,226146,0,226146,0,226146,bottom,,<option value='bubble_511'>Keith Fiels</option>
512,Francis Q. Eberle,National Science Teachers Association,Prof,"Education, Arts and Sciences",male,223239,0,223239,2432,225671,bottom,,<option value='bubble_512'>Francis Q. Eberle</option>
513,Michael Langford,Utility Workers Union of America,Union,Labor Unions,male,199899,0,199899,24549,224448,bottom,,<option value='bubble_513'>Michael Langford</option>
514,Frank Peterson Jr. ,Recreational Boating and Fishing Foundation,Nonprofit,Public Interest Groups,male,200487,20549,221036,515,221551,bottom,,<option value='bubble_514'>Frank Peterson Jr. </option>
515,Tony Perkins,Family Research Council,ThinkTank,Think Tank,male,188691,0,188691,29794,218485,bottom,,<option value='bubble_515'>Tony Perkins</option>
516,David Adkins,Council of State Governments,Trade,Government,male,218474,0,218474,0,218474,bottom,,<option value='bubble_516'>David Adkins</option>
517,Fredric V. Rolando,National Association of Letter Carriers,Union,Labor Unions,male,0,0,0,0,215768,bottom,,<option value='bubble_517'>Fredric V. Rolando</option>
518,John Sanbrailo,Pan American Development Foundation,Nonprofit,Public Interest Groups,male,214907,0,214907,0,214907,bottom,,<option value='bubble_518'>John Sanbrailo</option>
519,Mary C. McQueen,National Center for State Courts,Nonprofit,Public Interest Groups,female,204761,0,204761,9540,214301,bottom,,<option value='bubble_519'>Mary C. McQueen</option>
520,Rob Dingman,American Motorcyclist Association,Trade,Transportation Defense,male,214104,0,214104,0,214104,bottom,,<option value='bubble_520'>Rob Dingman</option>
521,Richard Denness,Epilepsy Foundation of America,Nonprofit,Public Interest Groups,male,210376,0,210376,0,210376,bottom,,<option value='bubble_521'>Richard Denness</option>
522,Darius Mans,Africare,Nonprofit,Public Interest Groups,male,209484,0,209484,0,209484,bottom,,<option value='bubble_522'>Darius Mans</option>
523,Robert W. Glover ,National Association of State Mental Health Program Directors,Prof,Health,male,171960,0,171960,34500,206460,bottom,,<option value='bubble_523'>Robert W. Glover </option>
524,Robert Greenstein,Center on Budget and Policy Priorities,Nonprofit,Public Interest Groups,male,195447,10000,205447,0,205447,bottom,,<option value='bubble_524'>Robert Greenstein</option>
525,Frank Farrow,Center for the Study of Social Policy,ThinkTank,Think Tank,male,189328,12177,201505,2286,203791,bottom,,<option value='bubble_525'>Frank Farrow</option>
526,Lorne W. Craner,International Republican Institute,Nonprofit,Public Interest Groups,male,202673,0,202673,690,203363,bottom,,<option value='bubble_526'>Lorne W. Craner</option>
527,Lawrence Cohen,Communications Workers of America,Union,Labor Unions,male,202872,0,202872,0,202872,bottom,,<option value='bubble_527'>Lawrence Cohen</option>
528,Michael Fitzpatrick,National Alliance on Mental Illness,Nonprofit,Public Interest Groups,male,201627,0,201627,0,201627,bottom,,<option value='bubble_528'>Michael Fitzpatrick</option>
529,Andrew C. Bernat,Computing Research Association,Trade,"Communications, IT",male,198622,0,198622,0,198622,bottom,,<option value='bubble_529'>Andrew C. Bernat</option>
530,William D. Corcoran,American Near East Refugee AID (ANERA),Nonprofit,Public Interest Groups,male,198033,0,198033,0,198033,bottom,,<option value='bubble_530'>William D. Corcoran</option>
531,Richard H. Solomon,Endowment of the U.S. Institute of Peace,Nonprofit,Public Interest Groups,male,196759,0,196759,0,196759,bottom,,<option value='bubble_531'>Richard H. Solomon</option>
532,Michael Brune,Sierra Club,Nonprofit,Public Interest Groups,male,196729,0,196729,0,196729,bottom,,<option value='bubble_532'>Michael Brune</option>
533,Kevin Latner,Cotton Council International,Trade,"Agriculture, Livestock",male,195803,0,195803,0,195803,bottom,,<option value='bubble_533'>Kevin Latner</option>
534,David Stern,Equal Justice Works,Nonprofit,Public Interest Groups,male,190550,0,190550,0,190550,bottom,,<option value='bubble_534'>David Stern</option>
